"bin_start","bin_end","count"
"0","100","4196"
"100","200","179"
"200","300","38"
"300","400","12"
"400","500","6"
"500","600","2"
"800","900","1"
"1000","1100","1"
"1400","1500","1"
"2200","2300","1"
