"year","count"
"2003","34"
"2004","2906"
"2005","1938"
"2006","10462"
"2007","40478"
"2008","72182"
"2009","85812"
"2010","112836"
"2011","158092"
"2012","265304"
"2013","347182"
"2014","305740"
"2015","449748"
"2016","520402"
"2017","534740"
"2018","583594"
"2019","516528"
"2020","552290"
"2021","476792"
"2022","562042"
"2023","293520"
