"year","count"
"1997","26"
"1998","40"
"1999","387"
"2000","1712"
"2001","4107"
"2002","4891"
"2003","10072"
"2004","21793"
"2005","27836"
"2006","53927"
"2007","85267"
"2008","139518"
"2009","221280"
"2010","333096"
"2011","600647"
"2012","771492"
"2013","1120171"
"2014","1260814"
"2015","1502873"
"2016","1661715"
"2017","1475711"
"2018","1544357"
"2019","1408327"
"2020","1594951"
"2021","1482511"
"2022","1444351"
"2023","632311"
