"year","count"
"2016","514"
"2018","353"
"2014","546"
"2020","271"
"2017","360"
"2010","143"
"2023","18"
"2011","281"
"2022","100"
"2019","333"
"2013","450"
"2021","163"
"2015","560"
"2012","345"
