"year","count"
"1997","32"
"1998","54"
"1999","242"
"2000","58"
"2001","650"
"2002","1060"
"2003","1330"
"2004","6834"
"2005","4538"
"2006","3616"
"2007","3106"
"2008","16300"
"2009","35680"
"2010","91376"
"2011","182174"
"2012","274740"
"2013","372038"
"2014","493086"
"2015","584130"
"2016","655476"
"2017","596400"
"2018","503056"
"2019","406200"
"2020","453846"
"2021","351328"
"2022","275628"
"2023","179136"
